timestamp,action,position_id,strategy,underlying,premium,commission,cash_after,nav_after,close_value,realized_pnl,reason
2024-10-21T16:00:00,OPEN,75f45be1,VLO_EARNINGS_CALL_SPREAD,VLO,-544.9999999999999,1.3,10543.7,10543.7,,,
2024-10-23T16:00:00,CLOSE,75f45be1,VLO_EARNINGS_CALL_SPREAD,VLO,,1.3,10854.400000000001,10854.400000000001,312.0,-235.59999999999988,STOP_LOSS
2024-10-25T16:00:00,OPEN,c685ec4f,MSFT_EARNINGS_CALL_SPREAD,MSFT,-332.0,5.2,11181.2,11181.2,,,
2024-12-13T16:00:00,CLOSE,c685ec4f,MSFT_EARNINGS_CALL_SPREAD,MSFT,,5.2,15176.0,15176.0,4000.0,3657.6,BACKTEST_END
