date,nav,cash,open_positions,total_premium_at_risk,premium_at_risk_pct,total_return_pct,current_drawdown_pct,vix_spot
2024-10-14,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.7
2024-10-15,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.64
2024-10-16,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.58
2024-10-17,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.11
2024-10-18,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.03
2024-10-21,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.37
2024-10-22,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.2
2024-10-23,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.24
2024-10-24,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.08
2024-10-25,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.33
2024-10-28,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.8
2024-10-29,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.34
2024-10-30,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.35
2024-10-31,10000.0,10000.0,0,0.0,0.0,0.0,0.0,23.16
2024-11-01,10281.7,10281.7,1,17.0,0.1653423072060068,2.8170000000000073,0.0,21.88
2024-11-04,10564.7,10281.7,1,17.0,0.1609132299071436,5.647000000000007,0.0,21.98
2024-11-05,10566.7,10281.7,1,17.0,0.16088277324046296,5.667000000000008,0.0,20.49
2024-11-06,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,16.27
2024-11-07,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,15.2
2024-11-08,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.94
2024-11-11,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.97
2024-11-12,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.71
2024-11-13,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.02
2024-11-14,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.31
2024-11-15,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,16.14
2024-11-18,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,15.58
2024-11-19,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,16.35
2024-11-20,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,17.16
2024-11-21,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,16.87
2024-11-22,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,15.24
2024-11-25,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.6
2024-11-26,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.1
2024-11-27,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.1
2024-11-29,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.51
2024-12-02,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.34
2024-12-03,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.3
2024-12-04,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.45
2024-12-05,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.54
2024-12-06,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,12.77
2024-12-09,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.19
2024-12-10,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,14.18
2024-12-11,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.58
2024-12-12,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.92
2024-12-13,10568.400000000001,10568.400000000001,0,0.0,0.0,5.684000000000014,0.0,13.81
