date,nav,cash,open_positions,total_premium_at_risk,premium_at_risk_pct,total_return_pct,current_drawdown_pct,vix_spot
2024-10-14,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.7
2024-10-15,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.64
2024-10-16,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.58
2024-10-17,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.11
2024-10-18,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.03
2024-10-21,10470.7,10470.7,1,28.0,0.26741287592997603,4.707000000000007,0.0,18.37
2024-10-22,10943.7,10470.7,1,28.0,0.25585496678454267,9.437000000000008,0.0,18.2
2024-10-23,10932.400000000001,10932.400000000001,0,0.0,0.0,9.324000000000014,0.09137677385162239,19.24
2024-10-24,10932.400000000001,10932.400000000001,0,0.0,0.0,9.324000000000014,0.09137677385162239,19.08
2024-10-25,11259.2,11259.2,1,3668.0,32.577803041068634,12.592000000000006,0.09137677385162239,20.33
2024-10-28,11395.2,11259.2,1,3668.0,32.18899185622016,13.952000000000005,0.0,19.8
2024-10-29,12119.2,11259.2,1,3668.0,30.266024160010556,21.192000000000007,0.0,19.34
2024-10-30,12331.2,11259.2,1,3668.0,29.745685740236148,23.31200000000001,0.0,20.35
2024-10-31,11359.2,11259.2,1,3668.0,32.291006408902035,13.592000000000008,7.882444530945892,23.16
2024-11-01,11355.2,11259.2,1,3668.0,32.30238128786811,13.552000000000008,7.914882574283119,21.88
2024-11-04,11335.2,11259.2,1,3668.0,32.35937610275955,13.352000000000007,8.077072790969249,21.98
2024-11-05,11323.2,11259.2,1,3668.0,32.39366963402571,13.232000000000008,8.174386920980927,20.49
2024-11-06,11315.2,11259.2,1,3668.0,32.41657239819004,13.152000000000008,8.239263007655378,16.27
2024-11-07,11299.2,11259.2,1,3668.0,32.46247521948457,12.992000000000006,8.369015181004281,15.2
2024-11-08,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.94
2024-11-11,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.97
2024-11-12,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.71
2024-11-13,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.02
2024-11-14,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.31
2024-11-15,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,16.14
2024-11-18,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,15.58
2024-11-19,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,16.35
2024-11-20,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,17.16
2024-11-21,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,16.87
2024-11-22,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,15.24
2024-11-25,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.6
2024-11-26,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.1
2024-11-27,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.1
2024-11-29,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.51
2024-12-02,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.34
2024-12-03,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.3
2024-12-04,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.45
2024-12-05,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.54
2024-12-06,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,12.77
2024-12-09,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.19
2024-12-10,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,14.18
2024-12-11,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.58
2024-12-12,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.92
2024-12-13,11254.0,11254.0,0,0.0,0.0,12.540000000000001,8.693395614376541,13.81
