timestamp,action,position_id,strategy,underlying,premium,commission,cash_after,nav_after,close_value,realized_pnl,reason
2024-10-21T16:00:00,OPEN,faeadbb2,VLO_EARNINGS_CALL_SPREAD,VLO,-472.0,1.3,10470.7,10470.7,,,
2024-10-23T16:00:00,CLOSE,faeadbb2,VLO_EARNINGS_CALL_SPREAD,VLO,,1.3,10932.400000000001,10932.400000000001,463.0,-11.6,STOP_LOSS
2024-10-25T16:00:00,OPEN,0809a450,MSFT_EARNINGS_CALL_SPREAD,MSFT,-332.0,5.2,11259.2,11259.2,,,
2024-12-13T16:00:00,CLOSE,0809a450,MSFT_EARNINGS_CALL_SPREAD,MSFT,,5.2,15254.0,15254.0,4000.0,3657.6,BACKTEST_END
